likes,text,url
1724,"Со мной вчера, кстати связались ребята из бабл. Видели мой отзыв на фильм, зовут на подкаст.

А я с удовольствием схожу, хочется поддержать ребят и жаль, что они ни хуя не собрали и уже не соберут в прокате.

Но я это к тому, что можете написать мне на почту какие-то спорные вопросы и я их задам напрямую создателям.
Тем более, мне есть, что спросить и самому.

P.s. про агитку поговорим точно",https://sun9-6.userapi.com/impg/W69kCsQFv984GwBqwEddFR7L_gMlgbCGRuTdIg/Acqlf6f3U_0.jpg?size=1280x817&quality=96&sign=98287f8ec837ad0f97d4d88c5c0d0708&c_uniq_tag=oBBd21m9b8tCjoBfL9fMDGzd1ZBAhT4WRwmIWnkmIRc&type=album
2485,"Одной ногой у себя на канале, другой – тут!",https://sun9-64.userapi.com/impg/_CzgeBdmnafhZqKTqw-kMavGmQtC1s0U89iqew/cCMsVPaTrs0.jpg?size=1125x961&quality=96&sign=d4fe25f2ad753381cfc4526dac85aad4&c_uniq_tag=SV_rQaIFzW5-5H1HZGt6wNCsZcPriQkWE0g6A-Z-Oj8&type=album
3509,,
2826,,
1765,,
2701,,https://sun9-65.userapi.com/impg/na9BICST6cyPN0OsuOEQ7p5zPcJdcfEukKM6MQ/HYjiTSEG_Zc.jpg?size=626x938&quality=96&sign=be52b542176e32f0fcfd39468d483b18&c_uniq_tag=_Xg0H4P1Zodjdynd8AxwFNzxwlbWYcKzSv0SOwZZ2jc&type=album
1640,"Пиздец вы психи...я ж про 10к лайков по приколу вкинул...

но, пацан сказал – пацан сделал. Ловите:

Какой у тебя ГЕНДЕР, и что ЭТО такое? — [стас комментатор]

https://youtu.be/oLRJ4HQJdAo",
559,"Тут Егорчик с которым мы писали сегодняшнюю ответку любителю бомжей, выпустил очень интересно видео с немалым колчиеством интересных видео. 

https://youtu.be/P2oZjcffG60",
1830,,https://sun9-23.userapi.com/impg/GfL5DtHGmy9QnBnrOlD8wW7NR7824-JX7ducAA/I6FIjuPxKmI.jpg?size=1280x1220&quality=96&sign=bdf0dd0287f16175be626f90514fdf11&c_uniq_tag=dWETdMUiGY5KNtfrP51nt1zIEUQXsW-O-qnTp2qovs0&type=album
19094,"Короче. Ролик про Топлеса и гендеры на канале. 
Но он выйдет только как мы соберем 10 000 лайков. 

Нужно продвигать паблик, увы, суровые реалии рынка диктуют условия. 
Как только собираем – сразу выходит.",https://sun9-58.userapi.com/impg/cduYim26SNtKWWcFSEugMWWxkajvKKD-2p1ssA/IgNpa5ISDGI.jpg?size=779x1080&quality=96&sign=46909429fd659cebe800ec2df667c766&c_uniq_tag=m12PBNpEmoNSfzPy6-zA12r9VS5mmkcSwYgxFbCyfto&type=album
2189,,
1792,,https://sun9-42.userapi.com/impg/A2z_jnoBiomDgoAkBO-K-na3Z4VsU4_7_xIUFQ/EQIjk9djNmE.jpg?size=1280x856&quality=96&sign=20344c01a33a92772186fa04c192890a&c_uniq_tag=6SqAn-nMhUO1zLrF06iwzh16qFDsrdDfmmxS2ctZY5g&type=album
1467,"ЗАПОМНИТЕ ТВАРИ
‘’все возможные’’ и ‘’всевозможные’’ – два разных понятия!!!",https://sun9-47.userapi.com/impg/PHqkxLqAkXk3ohjWyjVd6g6oZn58-HgJbEeAoA/W8t0DUepY7Y.jpg?size=1000x541&quality=96&sign=1f1640ab30c72c8014c769e8e08d15ad&c_uniq_tag=HVRZFlLMEQPQAmy40JSE1QYQaRzlQRSni6GAaSujkZY&type=album
941,"ЭКОНОМИСТ УНИЧТОЖАЕТ ''НЕ ТУПОГО'' СОВКА СТАСА

СМОТРЕТЬ: https://youtu.be/xlv2lnoeXnI

Кандидат экономических наук сделал разбор высказываний и глупости недалёкого коммуниста Стаса Ай Как Просто в котором по фактам уничтол и показал всю его интеллектуальную беспомощность всевозможными и всеми возможными способами.",
2233,,https://sun9-31.userapi.com/impg/eOV3ZefnZsFMLTiQiNJJ5N2jzOL_ll72bJ_nyw/lH-aDpeb6tU.jpg?size=1280x594&quality=96&sign=d481796dadee97256987d22377b12b7f&c_uniq_tag=QmYv2untwxrCxK88j8ktjDGTgzgi9u7vlwViDqSD5d0&type=album
626,"https://youtu.be/uC4kshSEpaM, Хованский в образе Куклачева поёт песню группы ""Король и шут"", и ЭТО ПРОСТО ОХ@ЕННО)))",
4153,,https://sun9-72.userapi.com/impg/HLrcfCkT-zZ474VUHV2g4mVBYA_ge2eiyPknMQ/wXO9bM3rAcA.jpg?size=850x1080&quality=96&sign=4ecbf3436fbcbe39727e449fb1faeda0&c_uniq_tag=LyFXwZ-OUOK_3n_U003MiLaGHMjcHhKs6LJcvXPROvY&type=album
1155,"Господи, какой же клинический бред ролик Яна Топлеса про гендеры....
Постепенно мой канал превращается в реакции только на Яна Топлеса, но я даже рад. 

Таких людей больше нет, так что давайте ценить Нулю и ни в коем случае не оскарблять! Потому-что настолько дегенеративный контент помимо него делает только TellBlog.

Но на него не интересно, он ноги не трахает. 

ЯН Я ЛЮБЛЮ ТЕБЯ ТЫ МОЙ САМЫЙ ЛЮБИМЫЙ ПЕРСОНАЖ В ИНТЕРНЕТЕ СЕЙЧАС ПОЖАЛУЙСТА ДАВАЙ ВЫПЬЕМ ПИВО НА НИКОЛЬСКОЙ В КРАСИВЫХ ХАЙБОЛАМИ

p.s. [id16232133|Ян Топлес] многие считают, что у меня красивые ноги!",https://sun9-5.userapi.com/impg/1aFD7DvObVGe4U11rZklt8r8IBw1bQE2VVSS8Q/23xf7g5h1vA.jpg?size=683x1024&quality=96&sign=d888197d4c8951ae28a20eb820d5e7e3&c_uniq_tag=BBPeOhuFKEpRtbu4KTrp06bkoo5LXRjOSV46is9rP3A&type=album
1102,"Панама (Ян Топлес и Стас Ай Как Просто). Нога и Решка. 10 лет

Разбираем тейки прокачавшего мозги Яна в передаче Орёл и Решка. 
Приятного!

Смотреть: https://youtu.be/WpkzQ-8h9WU",
3475,,https://sun9-41.userapi.com/impg/uhXl8tTxX3nbfFNJak_v7hX0JSGq-CgvQNf8YA/ljF5uxgGqa0.jpg?size=1125x1018&quality=96&sign=bc461d0a5498da60998b6a6074f68689&c_uniq_tag=ddkkA7i8OY0fMbwW-iUq-E4jcvsN9XJUVTVfYZuypHw&type=album
4268,,https://sun9-55.userapi.com/impg/OFdgFOi3HlBcIEAW-rDJhAltz_Mq_MMk4IyO9A/mVmoRjTpOx4.jpg?size=1058x524&quality=96&sign=5d177a5067f372906a9cc4762a998795&c_uniq_tag=LEZ1AXQLvKOLj5zPKY1254Uu5EdBgvpjr7zcKgX22ts&type=album
3066,,
1810,,https://sun9-7.userapi.com/impg/DhRU1LsI_TZcCGqkC5DeUQAANYqqvqO-mUpcRA/izLtvWrezRE.jpg?size=1200x628&quality=96&sign=c99b920ef9716c0cc84d28de30443238&c_uniq_tag=TZxTp4lTAPIam2udPGQLxe19FW9FcIAhv_xvur3ljIw&type=album
2975,,https://sun9-49.userapi.com/impg/inWeN9LgXNY3yU-ndhWSbR1zsk-jQFaVnv9sJw/dxu7DyMw12c.jpg?size=1280x845&quality=96&sign=c6cf2b3ee0f74dc5815a324e3e03d554&c_uniq_tag=fmRC-zUpel606wWBo7ZGeRbhvjx6vf4bKyD4scenYz8&type=album
2327,,https://sun9-16.userapi.com/impg/6iZOoX3Y7Z7Z7pTLAaum6OlrOMifdr8qKH3fhA/h02ssZWOl5A.jpg?size=622x900&quality=96&sign=37c4f92a36169a967028c74718c62fe9&c_uniq_tag=VvyT8g3czcjtAfVP4IDdm4bWfi37idMgGKjS8pSOXW4&type=album
931,"СТАС, СОБОЛЕВ, И ЛАРИН НА ЧИСТОТУ – работа с КРЕМЛЁМ, разоблачения, сливы и другое...

СМОТРЕТЬ: https://youtu.be/xEuPx4MEUAI",
2619,Все в один день,https://sun9-55.userapi.com/impg/3cfW_3B69bPJCLtxX69Fi0O_0KXr99Ooudwwnw/aIBfC72CcVk.jpg?size=607x1080&quality=96&sign=06589811128b0f2875e82599133d810e&c_uniq_tag=vI0Ceqhz-B7iSbS8tbF4aLx4ayLNRC6ouwm-DxTJhQw&type=album
1011,"Досмотрел.
Блять, где вы там ""повесточку"" увидели????",
1319,"Я смотрю щас ""Майор Гром"". Еще не досмотрел, войсом потом запишу.
Но это ПРОСТО ОХУИТЕЛЬНО.

Во всем. Я впечатлен!!!",
1916,"Короче, похоже, что Билу удастся избежать наказания и в этот раз.

Защищать его будет Жорин. Пашаев сразу же открестился и поняв куда дует ветер решил высказаться против Била.

В общем, пиздец. Срок скорее всего будет условным, сходит, раздаст деньги бабушка на улице и все его сразу простят и будут любить, а он продолжить ездить по встречке и играть в шашки.",https://sun9-55.userapi.com/impg/zXbBZX6aibhAohRcdOJWddQ86RZ09sMAzqtvlA/1nb_M517dbY.jpg?size=1080x588&quality=96&sign=726bc5ce70d0ce84e972658ad4435e61&c_uniq_tag=NAW14Wh5Uzf77zJpXtlIYN0WjhI88CaQvHGxI-AfsAw&type=album
1010,,
1032,"ДОГОНЯЛСЯ – ЭДВАРД БИЛ УСТРОИЛ ДТП // ЕСТЬ ПОСТРАДАВШИЕ

СМОТРЕТЬ: https://youtu.be/knaXvoOFRv4",
1305,"UPDATE: Это не первоапрельская шутка!!

Центр Москвы частично перекрыт из-за серьёзной аварии на Садовом Кольце. Столкнулись пять автомобилей, пострадали как минимум два человека — спасатели пытаются вытащить их из разбитых машин. 

По предварительным данным, виновник аварии скрылся с места ДТП. Внешняя сторона Садового кольца перекрыта, открыт лишь один левый ряд.

По предварительным данным, виновник аварии в центре Москвы — известный блогер Эдвард Бил. Именно его синий «Ауди» вылетел на встречку и спровоцировал крупную аварию. Возможно, Эдварда перед этим подрезал неизвестный на черном «Митцубиси», который скрылся с места аварии.",https://sun9-74.userapi.com/impg/cfSkbPaBCeiDV6jzmQ_xAQgGgWuIfyxAKtBENw/nEUtFrVIkVE.jpg?size=960x540&quality=96&sign=d2d6ff202c4b203df3afd273919e9004&c_uniq_tag=n7qay8sS-FNnPlEp2g0JS80f1tLSKU-xd_yb3zSOVRE&type=album
2444,,https://sun9-50.userapi.com/impg/TjXlr078qSGBOFcGMby5l4TxLOxDqyIXWdSLoQ/MAPSV3l0Xlc.jpg?size=1170x835&quality=96&sign=af49ee4e0b81c9d12b12f755e8b40a05&c_uniq_tag=sMkarchmonBo6TSqDlxUtSrvs3hgp0ZF8arySpfPaqk&type=album
2324,"Сталин Иосиф Виссарионович «Анархизм или социализм?» (том 1 страница 311):
Мы выбираем Социализм потому что Давидыч ржал",https://sun9-66.userapi.com/impg/vxGsH7w1pLAPWwKG6yuEeeGvL64GWP2akJNugQ/k_nRm4WAQjY.jpg?size=900x665&quality=96&sign=916fc6c1e9471fb99c252184f860b9c7&c_uniq_tag=__oQtxnXNk8SL5g-SjpehF85JBsZ31iFP5HQDwpKIkg&type=album
1634,"BADCOMEDIAN ВСЕХ ОБМАНУЛ – Победа Соболева и Кахи

https://youtu.be/99pEJSuedWI",
959,"ВИДЕО ОБРАБОТАЛОСЬ И ГОТОВО К ПУБЛИКАЦИИ!!!
ОПУБЛИКУЮ ДО 21:00",
2836,,https://sun9-32.userapi.com/impg/sRV3-zdLxpz5x2_VvNf98DdPOKxQkCRNN5x0SQ/3oIJqtTuoLE.jpg?size=831x1080&quality=96&sign=6be713a0cbece40b6883ca8c55ba3347&c_uniq_tag=B05FWjTnWNta-4kfwUFjIZMyoqpZnODC_FHO-TZ-Ep4&type=album
1803,"Завтра видео про Соболева, Басту, Бэда и много чего ещё. Настоятельно рекомендую посмотреть.

Видео уже гружу на канал, но в этот раз хочу анонсировать точное время.",https://sun9-5.userapi.com/impg/JJFqCJfqy2DP3nUQ87Gx-m_0QFEGSN33if7RvQ/eiNcoRktUvc.jpg?size=1280x469&quality=96&sign=8cce01e25742b83da3adcffc23975942&c_uniq_tag=LkQqpXTXKroQiNBpVKgzzcJn4e7N6O_OFm_SECyaA_Q&type=album
2382,"""Не буду смотреть премьеру – дождусь обзора бэдкомедиана, поржу"".
Теперь нечто подобное происходит и с реактами Стаса.",https://sun9-72.userapi.com/impg/D2tyzqujFbITaEwukw_0VsrQ5_0lgdWVZ9zMvw/FslUaleqH8A.jpg?size=498x1080&quality=96&sign=b637e225a0c8c0aec314233174f58c9c&c_uniq_tag=WSpubhA_eXVX4p1s7Ysd-9X3DI2hMDbGUUkxypq-Njg&type=album
1405,,
3170,"Ахахаха
Ларин в подкасте с Соболевым прям в начале говорит, что когда попросил аудиторию задать вопросы Соболевы, там писали ПОСМОТРЮ В ОБЗОРЕ СТАСА

АХАХАХАХХАХАХАХА",https://sun9-63.userapi.com/impg/UioK8_wgWEWKl_tKCHwTkcLU-P80jcPEXgU8Ig/cksyh3i1CmA.jpg?size=1280x721&quality=96&sign=7bb0fd6efe6e89788a31e6bb58527fbe&c_uniq_tag=WClEYTg-sFkXRHhmYAxgBMinsrl-jOxbWEniFVs3WPw&type=album
2186,"При всем уважении к Леше, но иногда он может сказануть такое, что я в ахуе...",https://sun9-7.userapi.com/impg/z9GlbY_np90xUDc42n_hoaJYBb8a3_18v9oH4g/pb1e1-Z2P7A.jpg?size=499x1080&quality=96&sign=5b104765ab4121f780f9f752fc31fc7b&c_uniq_tag=iM2BZfqwlo3QLPkhI21xRJP0vAVUIlOoK5hmrsSwiV4&type=album
3861,,https://sun9-21.userapi.com/impg/mOtOvMznlbV3KuNz-JsOnpVasQvcaG5TSwMOqA/wB0m7M4uUC0.jpg?size=762x1080&quality=96&sign=685b2da35cdfa898173ec6c287e31c23&c_uniq_tag=4N6n-I_b9MZJowPX4aAQfvs-H4wdPB67fwY-Pwo3f6Q&type=album
1502,"СОБОЛЕВ ТЕПЕРЬ С ЛАРИНЫМ
КОЛЯ ПОПОША БЫЛА ЛУЧШЕ",
3109,Стас - новый Сталин,https://sun9-69.userapi.com/impg/fNM4rkVDGbW-S2tpzCZdd7BT-0q1FknYQE3Ejw/k11a_liZm1c.jpg?size=820x929&quality=96&sign=32d9938bbf1994a17858d2b5f9fc421a&c_uniq_tag=07WcR3FlR3UhCqn8QTM4ImaNxREQpS2lmBirqIJrqtk&type=album
557,"Не думал, что скажу это, но у Сатира вышел просто ОХУИТЕЛЬНЫЙ ролик.

Я даже и не представлял, что это настолько легко работает.

https://youtu.be/G3HPChutbHw",
2468,Топ 10 аниме предательств,https://sun9-71.userapi.com/impg/P8Vil2FcIuLERlnLU_4Dvjs2_fG-_n0UiGSz8g/SVMQ4lKsyt0.jpg?size=612x1080&quality=96&sign=ae736ad85c8b2a83760e3df904529582&c_uniq_tag=8izrUNlaWUFkmz-rf88w_k0MxKbpADstg0NZQWnCBLQ&type=album
1975,Да что вы знаете об интернет драмах!,https://sun9-29.userapi.com/impg/MMZxU7UDLI0SIENe5u0YjzQQki-_dMVSvhGxhg/9DbicOtD9Wc.jpg?size=512x1080&quality=96&sign=190361760ffa8cafcb1f047b1319fca0&c_uniq_tag=AQYkpvbJ7JPTA88wlRQejs61OsnqBXoggD0wiaAqKs4&type=album
2480,"А если бы я мог взять интервью у Познера, я бы взял.",https://sun9-59.userapi.com/impg/bCtrywyEoyiFs_bWedbvWR3bvNIOQ5pAuFs_Yw/346Ft8YB7LA.jpg?size=1079x1071&quality=96&sign=8f4fe734b4d57ce996abdc64dedece4e&c_uniq_tag=PRNECz0zcpHz6BgOKs7jh85X78xKTnKKa1PNsdJMmOQ&type=album
3541,,https://sun9-11.userapi.com/impg/LUEu8ZO2WlNcxp5sk80qz8HcCIaoR_Z75O1X9Q/AZIQkYASVb4.jpg?size=771x1080&quality=96&sign=c47b14c095694f1fc245e3df1dcafdcb&c_uniq_tag=hUfo0ugwmGTmAjrrb09puMG0pxbTzYZbqOOBZIivEls&type=album
1959,"Топлес начал снимать монетизацию с моих роликов. Это, в принципе нормально.

Просто Ян, имей в виду. Я не за деньги, а чисто по фану.;)",https://sun9-29.userapi.com/impg/BGrZtfOdFt80BurfWDzvuqNEgzddvrgkWLg1fw/CswFUyUDCYU.jpg?size=982x474&quality=96&sign=b8b0408ea39c0923f5bcf54a2f82d6f3&c_uniq_tag=vFaFYapcjH6IqIssxtEwwyCysCgpD7LwOh8WUkdwfzI&type=album
2652,,https://sun9-41.userapi.com/impg/m5Kqo_mMorLQkJOVuCKD69SxTMiwIQIVP1gnTA/R91Ke3WY8gw.jpg?size=890x512&quality=96&sign=3ddd876d83acfdb44acbc350b150912d&c_uniq_tag=eMX_G0EJgU2Dd-zjYzoiWfojI-9cpmJCHd26Vhk2CIY&type=album
1076,"СОБОЛЕВ РАЗОБЛАЧИЛ BADCOMEDIAN / ПУТИН ВЫЗВЛ БАЙДЕНА НА БАТЛ

СМОТРЕТЬ: https://youtu.be/u-v2shxfCGw",
2888,,https://sun9-72.userapi.com/impg/yWnhUZUpyFAjsfL-8aCRrojE5iA3iM1bsnlyoA/E6J5Wq5NPQQ.jpg?size=1170x968&quality=96&sign=522eecd3129cca864d2b34172d87db4e&c_uniq_tag=m9r7rmt-WhOjAJBZCi4WiB-CEFALH0MA0Pp8jwfMa_U&type=album
2985,,https://sun9-26.userapi.com/impg/KNhCVgAHF5Mt2kDXQsHnxB7CcQ8-ZN46LDOo5g/p2n9FDAiniw.jpg?size=1000x463&quality=96&sign=a5471778862aa2bfd2bb7d9abf77ad9c&c_uniq_tag=kbmLjNfCdnaN0D59eshKyFzMOxfzBvFldTM6mIoyoYU&type=album
2960,"Соболев снят.
Ролик получится очень длинным.",https://sun9-34.userapi.com/impg/8RwTuYJfQPtHQr2YCi2EE0pEguSeOyPpoVMv1A/oCC6ZlTV7lE.jpg?size=1280x718&quality=96&sign=60522a6652a928c01c324dcc328ef662&c_uniq_tag=Kyl8a7Ohl61CVinWab9oYSyw8yFp2imsP9cF6AaXqxg&type=album
2657,,https://sun9-61.userapi.com/impg/1rclQUDJ8mc6TXQ7CBr45QtDIX7H9m0bCzRNhA/oDqnHZmjbh4.jpg?size=942x1080&quality=96&sign=9b9bb5c2773c753fcbac4dd33acd87a0&c_uniq_tag=UqmtV4e8cize0nKRX8Ke9_5w1VTd5eS7sqyqXpRB3f0&type=album
1231,"МЕГАПРОЕКТЫ ВЕЛИКАЯ БИТВА ТОПЛiСА С ВОДОЙ — [стас комментатор]

СМОТРЕТЬ: https://youtu.be/V1bZqTSJGrg",
1724,"Щас будет новый разбор Топлеса.
Так жидко он еще не обсирался на моей памяти.
Доделываю и гружу.",
510,"Наконец-то смогли разобраться с датами. Приходите, в этот раз мы подготовились совсем обстоятельно.
Будет жарко.",
2272,Мем ворованный но ахуенный,https://sun9-66.userapi.com/impg/noFeJaAP_k7OEgUG5_5HS3XfjuMr0tU-dl4jcw/rKemfwYVCGQ.jpg?size=815x1080&quality=96&sign=ce7bb0a56c9b67b21acb35e7b517401c&c_uniq_tag=CoQ21k2vQ1vQZEIo4Z97mC-LgZSoJCIYy2h4fWK3AOQ&type=album
3360,,
2228,"СК на Соболя не будет. Написал сценарий. Будет поноценный разьеб.

Выебу его фактами как и ткну в морду его же пиздежом.",
3474,Мем не мой но смешной,https://sun9-39.userapi.com/impg/kFJKjCjMpHTEkUm-QGGVQEFAc9bhNhUnjENiCw/kQwhG_2KXxA.jpg?size=849x1080&quality=96&sign=af224f3dcf79fae6530c14b4d5097fe2&c_uniq_tag=sG5TkMpmaNuJg20srDiR9wgweQpmA_SZnGksiiTEmn0&type=album
2363,"Охуеть. Соболев в новом ролике наехал на Бэда. Блять, пиздец, вырезал из контекста, сука, гондон, я в ахуе.",
3022,,
601,"Наш Саня участвует в конкурсе гитаристов! Прошу поддержать лайками и комментами!

И кстати, кому интересно, уже почти все песни записаны. Пацаны успевают за 3 часа записывать по пять песен.

Так что к середине Мая альбом точно выйдет.",
3024,,https://sun9-33.userapi.com/impg/tpkxct_VcUwnMWxn8G5qgWA3yIfcAAkqaQp5zQ/4tOi_0BNaig.jpg?size=1280x977&quality=96&sign=8eebf3daaaa94995b31ea5fa23d24c21&c_uniq_tag=t-hGYKwq6vLvfXrEgGk3NkQsYTN0iTXH3fEGAWERcJM&type=album
1097,"Начал собирать данные для обзора на Пивоварова.

Если у вас есть чем поделиться (например написали пара человек которым Пивоваров не заплатил за работу, и пара людей у которых он брал видео без разрешения) – пиши на почту stassatori@gmail.com",
1991,"помню сас, ты сказал что был бы рад этому на стриме. ну, держи)",
951,,
1176,"Хоть тут аудитория не всегда интересующаяся моими техно роликами, прошу поддержать данное видео. 

Я хочу поднять очень важную проблему и мне нужна ваша поддержка.",
2620,"А вы тоже в детстве думали, что они братья?",https://sun9-75.userapi.com/impg/KxsYL8uzOwoE9XEr4mrBJL-j1XLT6cRDqmd6dg/J1j3Gw11mfo.jpg?size=1280x514&quality=96&sign=9808d63929e248197ae099a30bab1754&c_uniq_tag=y18mfqkBk97Q2JJfplW1g2olWrV8RiRZQidCRFtPcXg&type=album
3254,,https://sun9-5.userapi.com/impg/ZP6zMNXI9RmCLmFq1YYZJ-kIhbEA0PvK_LfPvQ/0FDBRiwnrrs.jpg?size=1280x996&quality=96&sign=bf48ddde458048c6c5df6fa035674504&c_uniq_tag=qeNnOADUBbHi2lVwMoimGqqXRWVCcR2jyRBBMurUf2k&type=album
